Year,Quarter,Total (Thousands)
2016,1,"197,690"
2016,2,"232,461"
2016,3,"228,971"
2016,4,"213,297"
2017,1,"203,507"
2017,2,"237,998"
2017,3,"247,007"
2017,4,"219,114"
2018,1,"172,730"
2018,2,"202,384"
2018,3,"214,192"
2018,4,"199,158"
