Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2012,5,"6,511,064","4,456,778","10,967,841"
2012,6,"6,520,013","4,719,148","11,239,161"
2012,7,"6,757,687","5,134,163","11,891,849"
2012,8,"6,546,034","4,888,410","11,434,444"
2012,9,"5,561,085","4,382,598","9,943,683"
2012,10,"5,903,653","4,327,207","10,230,860"
2012,11,"5,821,209","4,013,845","9,835,053"
2012,12,"6,058,139","4,403,901","10,462,041"
2012,TOTAL,"73,349,354","52,947,029","126,296,383"
2013,1,"5,850,422","4,331,289","10,181,711"
2013,2,"5,366,207","3,678,439","9,044,646"
2013,3,"6,367,153","4,526,042","10,893,195"
2013,4,"6,018,419","4,228,564","10,246,983"
2013,5,"6,367,838","4,683,466","11,051,303"
2013,6,"6,543,687","4,982,259","11,525,946"
2013,7,"6,779,423","5,405,024","12,184,447"
2013,8,"6,589,749","5,215,068","11,804,818"
2013,9,"5,586,560","4,472,924","10,059,483"
2013,10,"6,115,918","4,537,648","10,653,566"
2013,11,"5,615,301","4,082,535","9,697,836"
2013,12,"6,141,818","4,814,521","10,956,339"
2013,TOTAL,"73,342,495","54,957,778","128,300,273"
2014,1,"5,855,490","4,683,817","10,539,307"
2014,2,"5,354,370","3,782,658","9,137,028"
2014,3,"6,418,910","4,460,242","10,879,152"
2014,4,"6,154,306","4,457,167","10,611,474"
2014,5,"6,372,577","4,792,760","11,165,337"
2014,6,"6,559,785","5,019,978","11,579,763"
2014,7,"6,878,658","5,368,993","12,247,652"
2014,8,"6,568,778","5,153,947","11,722,725"
2014,9,"5,675,041","4,350,554","10,025,595"
2014,10,"6,113,216","4,480,504","10,593,720"
2014,11,"5,631,228","4,095,405","9,726,633"
2014,12,"6,252,968","4,736,618","10,989,586"
2014,TOTAL,"73,835,327","55,382,644","129,217,971"
2015,1,"5,764,332","4,579,595","10,343,927"
2015,2,"5,229,802","3,820,805","9,050,607"
2015,3,"6,409,848","4,459,987","10,869,835"
2015,4,"6,329,715","4,283,539","10,613,255"
2015,5,"6,376,394","4,855,932","11,232,327"
2015,6,"6,765,754","5,148,219","11,913,973"
2015,7,"12,080,458","7,491,313","19,571,771"
2015,8,"11,565,487","7,332,391","18,897,877"
2015,9,"9,944,645","6,204,563","16,149,208"
2015,10,"10,682,605","6,194,019","16,876,624"
2015,11,"9,901,405","5,083,367","14,984,772"
2015,12,"10,453,499","5,941,867","16,395,366"
2015,TOTAL,"101,503,945","65,395,597","166,899,541"
2016,1,"9,667,771","5,644,933","15,312,703"
2016,2,"9,204,588","4,738,836","13,943,424"
2016,3,"11,038,832","5,884,890","16,923,722"
2016,4,"10,244,532","5,733,209","15,977,741"
2016,5,"10,933,732","6,351,637","17,285,369"
2016,6,"11,763,266","6,852,973","18,616,238"
2016,7,"12,008,604","7,412,263","19,420,867"
2016,8,"11,189,609","7,050,152","18,239,760"
2016,9,"9,760,321","6,005,402","15,765,724"
2016,10,"10,254,956","6,077,773","16,332,729"
2016,11,"9,774,853","5,066,278","14,841,131"
2016,12,"10,191,708","5,981,310","16,173,017"
2016,TOTAL,"126,032,770","72,799,656","198,832,426"
2017,1,"9,550,002","5,599,716","15,149,718"
2017,2,"8,783,061","4,595,620","13,378,681"
2017,3,"10,889,247","5,779,285","16,668,532"
2017,4,"10,201,138","6,356,334","16,557,472"
2017,5,"10,796,330","6,992,896","17,789,226"
2017,6,"11,405,562","7,405,531","18,811,093"
2017,7,"11,790,478","7,837,198","19,627,676"
2017,8,"11,459,040","7,500,267","18,959,307"
2017,9,"9,373,858","6,030,876","15,404,734"
2017,10,"10,693,868","6,271,962","16,965,830"
2017,11,"9,951,879","5,274,328","15,226,207"
2017,12,"10,541,422","6,190,454","16,731,876"
2017,TOTAL,"125,435,886","75,834,466","201,270,352"
2018,1,"9,749,542","5,757,515","15,507,057"
2018,2,"9,292,414","4,874,815","14,167,229"
2018,3,"11,148,485","6,173,610","17,322,095"
2018,4,"10,458,335","6,162,710","16,621,045"
2018,5,"11,074,519","7,058,199","18,132,718"
2018,6,"11,718,730","7,626,999","19,345,729"
2018,7,"12,143,688","7,846,843","19,990,531"
2018,8,"11,635,177","7,534,995","19,170,172"
2018,9,"9,692,917","6,310,567","16,003,484"
2018,10,"10,846,817","6,351,210","17,198,027"
