Year,Quarter,Total (Thousands)
2016,1,"262,464"
2016,2,"288,836"
2016,3,"288,124"
2016,4,"278,048"
2017,1,"272,805"
2017,2,"301,971"
2017,3,"299,428"
2017,4,"298,524"
2018,1,"289,278"
2018,2,"313,340"
2018,3,"309,190"
2018,4,"309,653"
