Year,Quarter,Total (Thousands)
2016,1,"102,618"
2016,2,"111,638"
2016,3,"113,217"
2016,4,"106,796"
2017,1,"110,908"
2017,2,"125,844"
2017,3,"125,457"
2017,4,"130,436"
2018,1,"144,345"
2018,2,"161,656"
2018,3,"166,505"
2018,4,"165,736"
