Year,Quarter,Total (Thousands)
2016,1,"70,755"
2016,2,"71,578"
2016,3,"84,962"
2016,4,"79,497"
2017,1,"80,224"
2017,2,"91,352"
2017,3,"94,495"
2017,4,"98,070"
2018,1,"100,452"
2018,2,"85,819"
2018,3,"90,654"
2018,4,"89,514"
