Year,Quarter,Total (Thousands)
2016,1,"30,484"
2016,2,"35,022"
2016,3,"39,297"
2016,4,"30,811"
2017,1,"30,602"
2017,2,"38,232"
2017,3,"42,114"
2017,4,"36,295"
2018,1,"48,800"
2018,2,"77,881"
2018,3,"83,804"
2018,4,"69,182"
