Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"8,325",,"8,325"
2002,11,"10,088",,"10,088"
2002,12,"12,193",,"12,193"
2002,TOTAL,"83,788",0,"83,788"
2003,1,"10,829",,"10,829"
2003,2,"9,590",,"9,590"
2003,3,"15,135",,"15,135"
2003,4,"14,470",,"14,470"
2003,5,"15,370",,"15,370"
2003,6,"21,138",,"21,138"
2003,7,"29,647",,"29,647"
2003,8,"34,058",,"34,058"
2003,9,"28,169",,"28,169"
2003,10,"32,146",,"32,146"
2003,11,"30,129",,"30,129"
2003,12,"30,749",,"30,749"
2003,TOTAL,"271,430",0,"271,430"
2004,1,"27,240",,"27,240"
2004,2,"33,962",,"33,962"
2004,3,"44,035",,"44,035"
2004,4,"39,691",,"39,691"
2004,5,"39,664",,"39,664"
2004,6,"41,383",,"41,383"
2004,7,"48,610",,"48,610"
2004,8,"48,338",,"48,338"
2004,9,"47,812",,"47,812"
2004,10,"55,591",72,"55,663"
2004,11,"53,916",,"53,916"
2004,12,"59,224",,"59,224"
2004,TOTAL,"539,466",72,"539,538"
2005,1,"51,324",,"51,324"
2005,2,"53,060",,"53,060"
2005,3,"66,611",,"66,611"
2005,4,"63,745",,"63,745"
2005,5,"73,442",,"73,442"
2005,6,"99,902",821,"100,723"
2005,7,"88,969",,"88,969"
2005,8,"83,627",,"83,627"
2005,9,"81,435",,"81,435"
2005,10,"96,081",,"96,081"
2005,11,"100,066",,"100,066"
2005,12,"127,258",,"127,258"
2005,TOTAL,"985,520",821,"986,341"
2006,1,"137,268",,"137,268"
2006,2,"141,269",,"141,269"
2006,3,"176,113",,"176,113"
2006,4,"155,192",,"155,192"
2006,5,"142,924",,"142,924"
2006,6,"178,988",,"178,988"
2006,7,"194,492",,"194,492"
2006,8,"163,504",,"163,504"
2006,9,"121,641",,"121,641"
2006,10,"145,218",,"145,218"
2006,11,"172,873",,"172,873"
2006,12,"213,627",,"213,627"
2006,TOTAL,"1,943,109",0,"1,943,109"
2007,1,"190,216",,"190,216"
2007,2,"205,981",,"205,981"
2007,3,"278,178",,"278,178"
2007,4,"244,075",,"244,075"
2007,5,"227,664",,"227,664"
2007,6,"281,977",,"281,977"
2007,7,"315,149",,"315,149"
2007,8,"254,687",,"254,687"
2007,9,"180,334",,"180,334"
2007,10,"215,112",,"215,112"
2007,11,"290,399",,"290,399"
2007,12,"337,289",,"337,289"
2007,TOTAL,"3,021,061",0,"3,021,061"
2008,1,"301,959",,"301,959"
2008,2,"326,307",,"326,307"
