Year,Quarter,Total (Thousands)
2016,1,"10,253"
2016,2,"11,993"
2016,3,"11,346"
2016,4,"10,158"
2017,1,"10,419"
2017,2,"12,298"
2017,3,"11,934"
2017,4,"11,460"
2018,1,"11,436"
2018,2,"13,418"
2018,3,"12,873"
2018,4,"12,222"
