Year,Quarter,Total (Thousands)
2016,1,"158,949"
2016,2,"175,460"
2016,3,"185,609"
2016,4,"170,386"
2017,1,"169,909"
2017,2,"200,080"
2017,3,"222,370"
2017,4,"202,130"
2018,1,"193,951"
2018,2,"217,876"
2018,3,"236,913"
2018,4,"240,000"
