Year,Quarter,Total (Thousands)
2016,1,"19,804"
2016,2,"20,994"
2016,3,"22,332"
2016,4,"19,270"
2017,1,"19,054"
2017,2,"20,535"
2017,3,"21,503"
2017,4,"20,063"
2018,1,"20,562"
2018,2,"22,074"
2018,3,"22,115"
2018,4,"19,972"
