Year,Quarter,Total (Thousands)
2016,1,"57,853"
2016,2,"57,625"
2016,3,"59,548"
2016,4,"56,578"
2017,1,"61,994"
2017,2,"74,282"
2017,3,"81,143"
2017,4,"72,419"
2018,1,"72,466"
2018,2,"77,752"
2018,3,"86,538"
2018,4,"84,433"
